Date,Close,pos,neg,score
2020-01-02,0.34191725370287485,72,58,0.6018775006682882
2020-01-03,0.38007525261460445,60,51,0.5837957000171127
2020-01-06,0.3332705075329679,142,155,0.5001108081344826
2020-01-07,0.33082710582847213,75,84,0.49166007761876024
2020-01-08,0.3625939031743073,92,66,0.6408916003988054
2020-01-09,0.4434210277997679,117,91,0.6140834117731087
2020-01-10,0.31015030598113363,43,37,0.5793757808717466
2020-01-13,0.4093985166770262,85,69,0.5994786855271774
2020-01-14,0.31936077382839656,107,98,0.5591563216370148
2020-01-15,0.33439857118829214,51,74,0.40536769807782197
2020-01-16,0.3625939219712955,33,56,0.3543216039052277
2020-01-17,0.3171052292243843,64,52,0.5988826420508039
2020-01-20,0.4945487042371339,158,98,0.6903874876842312
2020-01-21,0.31278201591383087,110,111,0.5265905161323085
2020-01-22,0.570676694584204,327,238,0.6370382588416258
2020-01-23,0.2701126270422643,114,107,0.5509417638269188
2020-02-03,0.44266912947312864,615,674,0.4985994574766791
2020-02-04,0.5964283429108994,601,446,0.6306420888084869
2020-02-05,0.6218043898185581,559,658,0.4744004009975108
2020-02-06,0.4565789947566176,694,743,0.5065174902755434
2020-02-07,0.15977440005088717,282,338,0.46837228301490386
2020-02-10,0.4370299766097796,389,439,0.48870477069711743
2020-02-11,0.21296989557069984,224,364,0.36548239056010634
2020-02-12,0.3654134890044759,315,356,0.4882414324591797
2020-02-13,0.2796992602182116,268,304,0.48701764387693736
2020-02-14,0.2208646118350499,333,610,0.3247127178041902
2020-02-17,0.4208648298801136,194,261,0.42942371559424086
2020-02-18,0.3892854573040316,499,595,0.47004184503203383
2020-02-19,0.277631591511671,1028,1311,0.4471960292344237
2020-02-20,0.46973683013454937,712,761,0.5070820999052617
2020-02-21,0.3400374420968172,256,270,0.5116362885976364
2020-02-24,0.23872197622812588,185,447,0.23137512301919474
2020-02-25,0.4817668838119807,267,267,0.5296335648857488
2020-02-26,0.17293223542881894,464,819,0.3371612204092032
2020-02-27,0.2783833394624042,489,1017,0.2815425734710593
2020-02-28,0.08233088368476278,259,651,0.2176958722015488
2020-03-02,0.42312037448412587,136,206,0.38959257158163957
2020-03-03,0.4507517028379616,169,181,0.5064906651451448
2020-03-04,0.3028194805670341,132,192,0.40329911365224375
2020-03-05,0.3704887510175747,131,211,0.36887964208726626
2020-03-06,0.30996243008366225,96,155,0.36841796767806534
2020-03-09,0.1552630100910499,129,292,0.25390733790204223
2020-03-10,0.47180451763807874,172,256,0.39534481276865424
2020-03-11,0.34699251571597367,328,668,0.28882508769327
2020-03-12,0.21917293928429915,143,367,0.21128087049523464
2020-03-13,0.2960525648001733,139,409,0.16505322716150603
2020-03-16,0.10375929990391713,279,702,0.21728723643984724
2020-03-17,0.3206767133811922,142,276,0.3052991541239586
2020-03-18,0.3302630646023161,122,342,0.18166817400542468
2020-03-19,0.3007519434394111,122,213,0.341733349714361
2020-03-20,0.3607142419441557,105,185,0.3388439179877804
2020-03-23,0.1691728941715273,132,349,0.201334567305932
2020-03-24,0.43609020238566837,77,124,0.3696191214827787
2020-03-25,0.5105262570241522,86,178,0.28483787267641886
2020-03-26,0.31597731594496614,37,65,0.3423179858298869
2020-03-27,0.3255639679179017,38,115,0.15978942842162266
2020-03-30,0.3524435295240158,95,143,0.3920602018158848
2020-03-31,0.35357144280343367,69,103,0.3953070941691301
2020-04-01,0.3509397140737485,80,126,0.3770385362664163
2020-04-02,0.40018789845385716,31,86,0.19027747077891782
2020-04-03,0.3001879210102432,48,79,0.3633077011540314
2020-04-07,0.4033834804398162,31,71,0.25448683874602085
2020-04-08,0.31221797468767454,56,57,0.5237325872512456
2020-04-09,0.29041354351574183,77,222,0.17321394405415247
2020-04-10,0.3086465093278548,92,442,0.0
2020-04-13,0.271616555274461,63,159,0.21873826215097758
2020-04-14,0.5571428630504818,234,310,0.43455984994981967
2020-04-15,0.38308269554525654,91,129,0.4123227985068657
2020-04-16,0.41992464212226077,87,107,0.4601472995518804
2020-04-17,0.41954890912430615,108,141,0.439896399121586
2020-04-20,0.3016916988665336,49,87,0.3378239113653163
2020-04-21,0.26992476994178133,72,134,0.32102815858440154
2020-04-22,0.35545110403358526,82,118,0.40739042435868056
2020-04-23,0.3120298168353789,31,41,0.43736709109292066
2020-04-24,0.3768796706286457,78,166,0.2756536710222971
2020-04-27,0.38665417970206467,49,70,0.41065650829889155
2020-04-28,0.42180445372831843,79,103,0.440613983446166
2020-04-29,0.3501879661230148,38,50,0.4386122215239084
2020-04-30,0.44624059483294837,90,119,0.43577289397843155
2020-05-06,0.37048846906275074,40,47,0.4761504327059659
2020-05-07,0.29492478309967274,64,109,0.3511314076272535
2020-05-08,0.3562031527361311,56,57,0.5237325872512456
2020-05-11,0.2212406267878285,328,545,0.3577585257575149
2020-05-12,0.3657892220024305,83,136,0.36366132042696736
2020-05-13,0.3298872000254436,223,673,0.15586866951469794
2020-05-14,0.29304525344843907,34,84,0.22857366562964423
2020-05-15,0.5231202015518337,176,225,0.4467142153483691
2020-05-18,0.27687954280912513,59,58,0.5353361808299074
2020-05-19,0.3716165327180752,55,66,0.46878360715110823
2020-05-20,0.4530075293967979,147,207,0.41416181472530594
2020-05-21,0.3148495342444654,47,52,0.496012253325794
2020-05-22,0.24586464378993003,27,39,0.40861459043106724
2020-05-25,0.36672940976028334,58,58,0.5296335648857488
2020-05-26,0.4530072474419739,139,196,0.41374261239934357
2020-05-27,0.36785717266379514,151,183,0.464808969802358
2020-05-28,0.27500003195488015,80,111,0.4196842537708635
2020-05-29,0.30187957476400523,50,94,0.31857302731018444
2020-06-01,0.44003755111934906,54,43,0.6053456500633942
2020-06-02,0.3152255679942327,63,90,0.41020878754555645
2020-06-03,0.3171050976454664,48,61,0.4497920454308795
2020-06-04,0.372744577576411,60,96,0.3722547165978064
2020-06-05,0.3674808945531813,34,50,0.4018956052945515
2020-06-08,0.3424814265079491,32,50,0.38193116122527804
2020-06-09,0.38853369055630965,380,652,0.3468275327429445
2020-06-10,0.3958645347673982,292,482,0.360037649341259
2020-06-11,0.46390980137372867,367,569,0.38117271172163003
2020-06-12,0.2738719682995557,127,151,0.4713251745531487
2020-06-15,0.309398539233412,45,74,0.3637690168765844
2020-06-16,0.3843986350980524,58,88,0.3901486606378056
2020-06-17,0.301315683913755,77,153,0.29882844241702766
2020-06-18,0.36353367739841824,51,56,0.498483478100513
2020-06-19,0.4725562655888119,101,140,0.4197733667488334
2020-06-22,0.3310152448837793,63,133,0.27890727887101846
2020-06-23,0.40902235134834125,48,62,0.44436316702611056
2020-06-24,0.3924812084628854,59,69,0.47733059967552294
2020-06-29,0.3295111662756763,56,62,0.49567548142552065
2020-06-30,0.4092105092006369,87,135,0.38193116122527804
2020-07-01,0.2488722182994995,119,323,0.19262556085380242
2020-07-02,0.30206745066147694,150,264,0.33879559875362436
2020-07-03,0.34887232732203133,146,212,0.40380177694665437
2020-07-06,0.5289472303126544,116,165,0.41094254235348904
2020-07-07,0.677067591638889,240,209,0.5763512572834263
2020-07-08,0.37951123018543653,113,130,0.48247157168909266
2020-07-09,0.4810148539064235,115,114,0.5325712253290794
2020-07-10,0.3172932367007733,164,165,0.5275834217197659
2020-07-13,0.7261277497456198,330,284,0.5804024009035935
2020-07-14,0.18909764531632073,178,266,0.39396103402362614
2020-07-15,0.16879714237658425,113,185,0.3635309967604256
2020-07-16,0.15357135633728786,81,167,0.2862741044258762
2020-07-17,0.3218043447057866,237,323,0.42496945086545124
2020-07-20,0.5223684536011005,217,248,0.48452128281890583
2020-07-21,0.3742480922748661,115,122,0.5097527019627706
2020-07-22,0.3562028707813072,71,89,0.4539214797081032
2020-07-23,0.44605271893547616,120,111,0.5558584492428548
2020-07-24,0.06823314250380268,163,324,0.2975679588033106
2020-07-27,0.19906003028721087,105,208,0.2992860253072439
2020-07-28,0.46221786566514267,102,205,0.2944503473286231
2020-07-29,0.4654136168239965,112,154,0.42240284860364874
2020-07-30,0.36466172225675403,74,100,0.4286475864071645
2020-07-31,0.47124034483300503,69,148,0.27331078539970677
2020-08-03,0.4045112621403167,51,82,0.37097903377088687
2020-08-04,0.27800760646444855,57,110,0.3093997988389406
2020-08-05,0.3039472622675346,161,294,0.326265664569957
2020-08-06,0.36654125190798825,83,129,0.381456286883703
2020-08-07,0.20789463355760104,37,109,0.16899604616497965
2020-08-10,0.2714285477980717,52,101,0.3075018664666349
2020-08-11,0.3022556085137726,225,344,0.38610745857571716
2020-08-12,0.29060155099213114,289,364,0.4515895278368255
2020-08-13,0.34661650076319506,178,260,0.401672676468089
2020-08-14,0.4208645479252896,115,144,0.4539214797081032
2020-08-17,0.27518817101018705,133,300,0.2550499885212253
2020-08-18,0.39360897136639716,195,419,0.27104122736120334
2020-08-19,0.16860900332127732,176,370,0.2785355397919293
2020-08-20,0.309398257278588,161,279,0.343972168593218
2020-08-21,0.4110903208066946,154,246,0.3715333340143635
2020-08-24,0.5285712153598758,154,257,0.35674971135228944
2020-08-25,0.3033836533721083,67,122,0.32853976334774654
2020-08-26,0.23552622506927207,139,285,0.2872564878505322
2020-08-27,0.5404134119368242,166,265,0.37168965636758705
2020-08-28,0.4056390250438285,82,83,0.5255700712678852
2020-08-31,0.2892856302363237,63,109,0.34587087338950534
2020-09-01,0.5080825545678448,123,123,0.5296335648857488
2020-09-02,0.2857144468313269,72,93,0.4438471248556549
2020-09-03,0.3152255679942327,56,72,0.4456885502023225
2020-09-04,0.24266917458590073,50,124,0.22545724728749333
2020-09-07,0.0,326,737,0.2534508145466635
2020-09-08,0.3528195256798057,187,379,0.2908598623772358
2020-09-09,0.289661663986091,108,273,0.21687569025499925
2020-09-10,0.3571427577873473,89,148,0.358581183259345
2020-09-11,0.38458621024371137,72,106,0.39989652384030594
2020-09-14,0.4449249560319649,90,105,0.4778636675961224
2020-09-15,0.3804511359884654,122,202,0.3596380995286372
2020-09-16,0.29135331773985307,110,202,0.3248077850953415
2020-09-17,0.46015017816161335,138,118,0.5823436059236523
2020-09-18,0.3537594502798232,83,104,0.4539214797081032
2020-09-21,0.3210525779580647,72,144,0.29678229919990073
2020-09-22,0.3900375060065775,79,103,0.440613983446166
2020-09-23,0.27819548236192126,76,146,0.3102344798543929
2020-09-24,0.22424820129739795,60,112,0.32045182172374653
2020-09-25,0.35770664863759755,30,62,0.28902146892385416
2020-09-28,0.3648496169512144,46,60,0.4411697536960148
2020-09-29,0.5531952135649887,101,173,0.3484206262707247
2020-09-30,0.4355264619113245,93,115,0.45828082440764
2020-10-09,0.6390975814065599,145,143,0.534313606831911
2020-10-12,0.5184209732885022,93,117,0.4524807231412563
2020-10-13,0.36917283026176784,60,64,0.5080836148394671
2020-10-14,0.36484959815422513,85,115,0.4281011503908201
2020-10-15,0.37575188892814465,75,84,0.49166007761876024
2020-10-16,0.14473675306689823,84,123,0.401504484027414
2020-10-19,0.3627819106506963,38,49,0.4453312066604242
2020-10-20,0.5661654737972616,65,75,0.48176592638448495
2020-10-21,0.173308250381597,35,97,0.1898444169081715
2020-10-22,0.31315788049070387,41,72,0.3420732705926866
2020-10-23,0.26390958332866554,30,58,0.3112784734831955
2020-10-26,0.46296989557069984,57,57,0.5296335648857488
2020-10-27,0.41823298836849876,222,476,0.27165037952063936
2020-10-28,0.395676658869926,158,224,0.4118307060904124
2020-10-29,0.3535712924275281,64,73,0.4856341826667113
2020-10-30,0.46466185007627353,134,180,0.43014394015181084
2020-11-02,0.5849624620385424,150,175,0.4776517522424907
2020-11-03,0.2644731734271036,73,153,0.2809665467438466
2020-11-04,0.33308293238730763,47,82,0.34382073022352255
2020-11-05,0.5853381950364975,141,180,0.4472962102638473
2020-11-06,0.24793231249647066,74,98,0.435433765852578
2020-11-09,0.3969922976709105,57,104,0.3282545193951165
2020-11-10,0.3323311656395857,49,75,0.38756612735131424
2020-11-11,0.0584583514755597,56,89,0.3746565069708392
2020-11-12,0.4060150587935958,48,63,0.4390197863316769
2020-11-13,0.3223685175108603,78,108,0.4204136374959652
2020-11-16,0.3736839194697924,76,110,0.40554400240066124
2020-11-17,0.2625939445276821,44,69,0.3797207451882613
2020-11-18,0.15056404498555312,138,319,0.24671120633378812
2020-11-19,0.3719925476708538,90,131,0.4034343728374793
2020-11-20,0.5295111211629047,48,43,0.5661523975702046
2020-11-23,0.35921044529087665,62,124,0.2971539286583785
2020-11-24,0.37387207732208805,74,105,0.4122532061239594
2020-11-25,0.1825188686047652,70,97,0.42028213526771746
2020-11-26,0.32537581006560684,56,86,0.3861592241813817
2020-11-27,0.2791353881649501,36,70,0.308492254400386
2020-11-30,0.3569549006868638,70,88,0.45296705527660314
2020-12-01,0.4052630100910504,12,10,0.5863146251843792
2020-12-02,0.29530079805245135,2,2,0.5296335648857488
2020-12-03,0.38515038304878507,1,2,0.3920602018158848
2020-12-04,0.41202994465489945,2,3,0.43202371039848697
2020-12-07,0.5625937076856302,0,1,0.2944503473286231
2020-12-08,0.4278196403414348,3,1,0.7648167824428743
2020-12-09,0.3413533628526241,2,0,0.9023901455127383
2020-12-10,0.3197369391570807,10,3,0.8728673887614722
2020-12-11,0.37462384406981,1,0,0.7648167824428743
2020-12-14,0.33139097788173394,1,0,0.7648167824428743
2020-12-15,0.5768796067188854,0,3,0.05926712977149745
2020-12-16,0.4840224472129817,0,1,0.2944503473286231
2020-12-17,0.3184210184012738,2,1,0.6672069279556126
2020-12-18,0.43928550241680314,3,0,1.0
2020-12-21,1.0,1,5,0.1568769842587591
2020-12-22,0.12838374923674822,0,0,0.5296335648857488
2020-12-23,0.4238718404800356,1,2,0.3920602018158848
2020-12-24,0.21033833601390897,0,0,0.5296335648857488
2020-12-25,0.3755640318276617,0,0,0.5296335648857488
2020-12-28,0.4169170488157037,0,0,0.5296335648857488
2020-12-29,0.1768797157414167,0,0,0.5296335648857488
2020-12-30,0.9434208774238618,3,11,0.1568769842587591
